City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Ilebo,CD,-4.3167,20.5833,80.74,58,74,2.13,broken clouds
141,Butaritari,KI,3.0707,172.7902,80.55,77,3,8.43,light rain
142,Severo-Kurilsk,RU,50.6789,156.125,36.88,98,100,15.14,moderate rain
143,Nenjiang,CN,49.1833,125.2167,42.17,33,52,5.41,broken clouds
144,Longyearbyen,SJ,78.2186,15.6401,30.04,74,75,3.44,broken clouds
145,Tarkwa,GH,5.3064,-1.9847,84.36,72,63,7.54,light rain
146,Mackay,AU,-21.15,149.2,67.68,86,0,6.15,clear sky
147,Ligaya,PH,12.6599,120.8923,78.89,88,100,3.36,light rain
148,Kavaratti,IN,10.5669,72.642,80.51,85,100,16.64,overcast clouds
149,Lucapa,AO,-8.4192,20.7447,74.1,45,45,4.14,scattered clouds
150,Takoradi,GH,4.8845,-1.7554,83.26,73,30,8.48,scattered clouds
151,Honiara,SB,-9.4333,159.95,76.68,87,25,3.51,scattered clouds
152,Meulaboh,ID,4.1363,96.1285,75.63,89,100,8.63,overcast clouds
153,Awjilah,LY,29.1081,21.2869,83.53,21,0,8.32,clear sky
154,Maholi,IN,27.6667,80.4667,94.84,19,0,7.49,clear sky
155,Awbari,LY,26.5921,12.7805,84.43,11,0,10.54,clear sky
156,Bengkulu,ID,-3.8004,102.2655,77.45,92,100,2.91,overcast clouds
157,Jinchang,CN,38.4953,102.1739,52.75,16,2,6.08,clear sky
158,Jalu,LY,29.0331,21.5482,83.57,20,0,7.94,clear sky
159,Dorado,PR,18.4588,-66.2677,88.47,78,75,16.11,broken clouds
160,Kandrian,PG,-6.2167,149.55,77.22,88,66,6.06,broken clouds
161,Konya,TR,38.1667,32.5,51.28,71,91,13.56,overcast clouds
162,Nioro,GM,13.35,-15.75,109.36,9,1,13.56,clear sky
163,Puerto Narino,CO,-3.7703,-70.3831,73.72,100,100,2.55,moderate rain
164,Sao Lourenco,BR,-22.1164,-45.0544,63.77,93,100,5.3,overcast clouds
165,Berehove,UA,48.2056,22.6442,64.99,71,23,5.64,few clouds
166,Hamilton,US,39.1834,-84.5333,84.22,53,0,4.0,clear sky
167,Vredendal,ZA,-31.6683,18.5012,70.65,21,0,10.71,clear sky
168,Tasiilaq,GL,65.6145,-37.6368,32.16,96,100,25.86,snow
169,Venado Tuerto,AR,-33.7456,-61.9688,62.76,25,7,14.03,clear sky
170,Jumla,NP,29.2747,82.1838,55.58,76,43,4.0,scattered clouds
