City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
287,Grand Gaube,MU,73.8,few clouds,-20.0064,57.6608,
288,Imeni Poliny Osipenko,RU,36.03,light rain,52.4201,136.4853,
289,Bilgi,IN,84.45,overcast clouds,16.35,75.6167,
290,Caravelas,BR,79.93,broken clouds,-17.7125,-39.2481,
291,Saint George,US,85.78,clear sky,37.1041,-113.5841,
292,Cravo Norte,CO,91.98,overcast clouds,6.3017,-70.2041,
293,Ismailia,EG,69.69,clear sky,30.6043,32.2723,
295,Saint-Augustin,CA,45.86,broken clouds,51.226,-58.6502,
296,Nelson Bay,AU,66.0,scattered clouds,-32.7167,152.15,
297,Guerrero Negro,MX,72.0,scattered clouds,27.9769,-114.0611,
298,Kodiak,US,49.51,clear sky,57.79,-152.4072,
300,Gwanda,ZW,67.68,broken clouds,-20.9333,29.0,
301,Firovo,RU,48.4,overcast clouds,57.4814,33.7021,
303,Alta Floresta,BR,94.82,scattered clouds,-9.8756,-56.0861,
304,Mabaruma,GY,75.85,overcast clouds,8.2,-59.7833,
305,Humaita,BR,89.8,overcast clouds,-7.5061,-63.0208,
306,Homer,US,47.77,clear sky,59.6425,-151.5483,
307,Yaan,NG,88.72,overcast clouds,7.3833,8.5667,
308,Uong Bi,VN,69.78,overcast clouds,21.0333,106.7833,
309,Kannur,IN,79.3,moderate rain,11.8675,75.3576,
310,Portland,US,65.75,overcast clouds,45.5234,-122.6762,
311,Porangatu,BR,93.2,scattered clouds,-13.4408,-49.1486,
312,Cherkasskoye,RU,48.99,overcast clouds,52.4333,47.2167,
313,Urubicha,BO,81.37,scattered clouds,-15.3833,-62.95,
314,Quarai,BR,62.83,few clouds,-30.3875,-56.4514,
315,Crib Point,AU,58.64,broken clouds,-38.35,145.2,
316,Touros,BR,85.05,overcast clouds,-5.1989,-35.4608,
317,Puerto Baquerizo Moreno,EC,79.79,scattered clouds,-0.9,-89.6,
318,Mao,ES,73.96,clear sky,39.8885,4.2658,
319,Yatou,CN,52.43,few clouds,37.15,122.3833,
320,Mount Gambier,AU,54.05,scattered clouds,-37.8333,140.7667,
321,Conde,BR,83.66,broken clouds,-7.2597,-34.9075,
322,Korla,CN,74.89,overcast clouds,41.7597,86.1469,
323,Albina,SR,80.53,overcast clouds,5.5,-54.05,
324,Quatre Cocos,MU,73.51,scattered clouds,-20.2078,57.7625,
325,Salina,US,75.02,broken clouds,38.8403,-97.6114,
327,Kota Kinabalu,MY,79.88,few clouds,5.9749,116.0724,
328,Igrim,RU,46.94,broken clouds,63.1906,64.4162,
329,Laguna,US,84.02,clear sky,38.421,-121.4238,
330,Hofn,IS,47.26,overcast clouds,64.2539,-15.2082,
331,Veraval,IN,83.79,clear sky,20.9,70.3667,
332,Itarema,BR,83.79,overcast clouds,-2.9248,-39.9167,
333,Kijang,KR,56.93,overcast clouds,35.2442,129.2139,
335,Tulln,AT,77.04,few clouds,48.3283,16.0586,
337,Vila Franca Do Campo,PT,68.2,overcast clouds,37.7167,-25.4333,
338,San Jeronimo,PE,62.53,scattered clouds,-11.9472,-75.2829,
339,College,US,46.2,broken clouds,64.8569,-147.8028,
340,Hurricane,US,91.74,scattered clouds,37.1753,-113.2899,
341,Salalah,OM,86.09,clear sky,17.0151,54.0924,
342,Kuressaare,EE,52.95,clear sky,58.2481,22.5039,
343,Bam,IR,75.85,clear sky,29.106,58.357,
344,Antofagasta,CL,63.68,few clouds,-23.65,-70.4,
345,Dolores,AR,57.11,clear sky,-36.3132,-57.6792,
346,Epe,NG,84.9,overcast clouds,6.5841,3.9834,
347,Nakhon Thai,TH,80.49,broken clouds,17.1006,100.8374,
349,Ugoofaaru,MV,83.32,overcast clouds,5.6667,73.0,
350,Ngorongoro,TZ,52.7,scattered clouds,-3.2397,35.4875,
351,Kieta,PG,79.18,overcast clouds,-6.2167,155.6333,
352,Mineiros,BR,85.5,scattered clouds,-17.5694,-52.5511,
354,Togur,RU,56.64,overcast clouds,58.3631,82.8265,
355,Tautira,PF,80.06,light rain,-17.7333,-149.15,
356,Kashi,CN,63.61,overcast clouds,39.4547,75.9797,
357,Garissa,KE,84.0,broken clouds,-0.4536,39.6401,
358,Vorukh,TJ,56.79,broken clouds,39.8494,70.5838,
359,Trairi,BR,83.71,overcast clouds,-3.2778,-39.2689,
360,Longkou,CN,58.15,clear sky,37.6508,120.3286,
361,Lorengau,PG,79.32,overcast clouds,-2.0226,147.2712,
362,Bastia,FR,71.4,clear sky,42.6667,9.3333,
363,Teknaf,BD,82.42,scattered clouds,20.8624,92.3058,
364,Santiago De Cuba,CU,82.51,broken clouds,20.0247,-75.8219,
365,Newport,GB,60.82,overcast clouds,51.5877,-2.9984,
366,Prieska,ZA,64.17,clear sky,-29.6641,22.7474,
367,Bud,US,84.67,few clouds,39.447,-86.1758,
368,Bintulu,MY,77.41,thunderstorm with light rain,3.1667,113.0333,
369,Faya,SA,75.31,clear sky,18.3851,42.4509,
